Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,Sequence_ID,Case_No.
153.93,150.0,151.54,150.14,150.0,14,1
177.91328282828283,150.0,151.7866851948052,150.177688015873,150.25252525252526,14,1
201.89656565656566,150.0,152.03337038961038,150.21537603174602,150.5050505050505,14,1
225.87984848484848,150.0,152.28005558441558,150.25306404761903,150.75757575757575,14,1
249.8631313131313,150.0,152.52674077922077,150.29075206349208,151.010101010101,14,1
273.84641414141413,150.0,152.77342597402597,150.3284400793651,151.26262626262624,14,1
297.829696969697,150.0,153.02011116883116,150.36724229437232,151.5151515151515,14,1
321.8129797979798,150.0,153.26679636363636,150.4117826767677,151.76767676767676,14,1
345.79626262626266,150.0,153.51348155844155,150.45632305916308,152.02020202020202,14,1
369.7795454545454,150.0,153.76016675324675,150.50086344155844,152.27272727272728,14,1
393.7628282828283,150.0,154.00685194805195,150.54540382395382,152.52525252525254,14,1
417.74611111111113,150.0,154.25353714285714,150.5899442063492,152.77777777777777,14,1
441.72939393939396,150.0,154.50007377777777,150.63663870707072,153.03030303030303,14,1
465.7126767676768,150.0,154.74630214814815,150.68780304377105,153.2828282828283,14,1
489.6959595959596,150.0,154.99253051851852,150.7389673804714,153.53535353535355,14,1
513.6792424242424,150.0,155.2387588888889,150.7901317171717,153.78787878787878,14,1
537.6625252525253,150.0,155.48498725925927,150.84129605387204,154.04040404040404,14,1
561.6458080808081,150.0,155.73121562962965,150.89246039057238,154.2929292929293,14,1
585.6290909090909,150.00012136363637,155.97747636363638,150.94412636363637,154.54545454545456,14,1
609.6123737373737,150.00183445526696,156.22416155844158,151.0023714790765,154.7979797979798,14,1
633.5956565656566,150.00354754689755,156.47084675324675,151.0606165945166,155.05050505050505,14,1
657.5789393939394,150.00526063852814,156.71753194805194,151.11886170995672,155.3030303030303,14,1
681.5622222222223,150.00697373015873,156.96421714285714,151.17710682539683,155.55555555555554,14,1
705.545505050505,150.00868682178933,157.21090233766233,151.23535194083695,155.8080808080808,14,1
729.5287878787879,150.01111975757576,157.45785414141415,151.29455684848486,156.06060606060606,14,1
753.5120707070707,150.0159164141414,157.7056813973064,151.3569133838384,156.31313131313132,14,1
777.4953535353536,150.02071307070707,157.95350865319867,151.41926991919192,156.56565656565655,14,1
801.4786363636363,150.02550972727272,158.20133590909091,151.48162645454545,156.8181818181818,14,1
825.4619191919192,150.03030638383837,158.44916316498316,151.54398298989898,157.07070707070707,14,1
849.445202020202,150.03510304040404,158.6969904208754,151.6063395252525,157.3232323232323,14,1
873.4284848484849,150.03989969696968,158.94481767676766,151.66869606060604,157.57575757575756,14,1
897.4117676767676,150.04503288583484,159.19157852007248,151.73542751585296,157.82828282828282,14,1
921.3950505050504,150.05017326223583,159.43831658732066,151.802252409066,158.08080808080808,14,1
945.3783333333333,150.05531363863685,159.68505465456883,151.86907730227907,158.33333333333334,14,1
969.3616161616162,150.06045401503783,159.931792721817,151.9359021954921,158.58585858585857,14,1
993.3448989898991,150.06559439143885,160.17853078906518,152.00272708870514,158.83838383838383,14,1
1017.3281818181817,150.07122435064935,160.42550616883116,152.07028454545454,159.0909090909091,14,1
1041.3114646464646,150.0797898088023,160.67390445526695,152.1422343939394,159.34343434343435,14,1
1065.2947474747475,150.08835526695526,160.92230274170274,152.21418424242424,159.59595959595958,14,1
1089.2780303030304,150.09692072510822,161.17070102813852,152.2861340909091,159.84848484848484,14,1
1113.261313131313,150.10548618326118,161.4190993145743,152.35808393939394,160.1010101010101,14,1
1137.244595959596,150.11405164141414,161.6674976010101,152.43003378787878,160.35353535353534,14,1
1161.2278787878788,150.12341967676767,161.91572141414142,152.50247216161614,160.6060606060606,14,1
1185.2111616161617,150.1346118754209,162.16354867003366,152.5760208956229,160.85858585858585,14,1
1209.1944444444446,150.14580407407408,162.4113759259259,152.6495696296296,161.11111111111111,14,1
1233.1777272727272,150.15699627272727,162.65920318181819,152.72311836363636,161.36363636363635,14,1
1257.16101010101,150.16818847138046,162.90703043771043,152.79666709764308,161.6161616161616,14,1
1281.144292929293,150.17938067003368,163.15485769360268,152.87021583164983,161.86868686868686,14,1
1305.1275757575759,150.19078915584416,163.4026264935065,152.94403346320345,162.12121212121212,14,1
1329.1108585858588,150.20620698051948,163.64931168831168,153.02283567821067,162.37373737373738,14,1
1353.0941414141414,150.2216248051948,163.89599688311688,153.10163789321788,162.62626262626262,14,1
1377.0774242424243,150.23704262987013,164.14268207792207,153.1804401082251,162.87878787878788,14,1
1401.0607070707072,150.25246045454546,164.38936727272727,153.25924232323231,163.13131313131314,14,1
1425.04398989899,150.26787827922078,164.63605246753247,153.33804453823953,163.3838383838384,14,1
1449.0272727272727,150.28410181818182,164.88298181818183,153.41777454545456,163.63636363636365,14,1
1473.0105555555556,150.30328844444443,165.13080907407408,153.5009165925926,163.88888888888889,14,1
1496.9938383838385,150.32247507070707,165.37863632996633,153.58405863973064,164.14141414141415,14,1
1520.9771212121213,150.3416616969697,165.6264635858586,153.66720068686868,164.3939393939394,14,1
1544.960404040404,150.36084832323232,165.87429084175085,153.75034273400672,164.64646464646466,14,1
1568.9436868686869,150.38003494949496,166.1221180976431,153.83348478114476,164.8989898989899,14,1
1592.9269696969698,150.3992215757576,166.36994535353534,153.91662682828283,165.15151515151516,14,1
1616.9102525252526,150.42301025252524,166.61832047258298,154.00053588383838,165.40404040404042,14,1
1640.8935353535353,150.44699353535353,166.86671875901877,154.08447737373737,165.65656565656565,14,1
1664.8768181818182,150.4709768181818,167.11511704545455,154.16841886363636,165.9090909090909,14,1
1688.860101010101,150.4949601010101,167.36351533189034,154.25236035353535,166.16161616161617,14,1
1712.843383838384,150.51894338383838,167.61191361832613,154.33630184343434,166.41414141414143,14,1
1736.8266666666668,150.5431357142857,167.86010285714286,154.4208704761905,166.66666666666666,14,1
1760.8099494949495,150.56883208874459,168.10678805194806,154.50995124098125,166.91919191919192,14,1
1784.7932323232324,150.59452846320346,168.35347324675325,154.59903200577202,167.17171717171718,14,1
1808.7765151515152,150.62022483766233,168.60015844155845,154.68811277056278,167.42424242424244,14,1
1832.7597979797981,150.6459212121212,168.84684363636364,154.77719353535355,167.6767676767677,14,1
1856.7430808080808,150.67161758658008,169.09352883116884,154.8662743001443,167.92929292929296,14,1
1880.7263636363637,150.69864672727272,169.3405390909091,154.9559401818182,168.1818181818182,14,1
1904.7096464646465,150.72902555218855,169.58836634680137,155.04707665656565,168.43434343434345,14,1
1928.6929292929294,150.75940437710437,169.8361936026936,155.13821313131314,168.6868686868687,14,1
1952.676212121212,150.7897832020202,170.08402085858586,155.2293496060606,168.93939393939397,14,1
1976.659494949495,150.82016202693603,170.3318481144781,155.32048608080808,169.1919191919192,14,1
2000.6427777777778,150.85054085185186,170.57967537037035,155.41162255555557,169.44444444444446,14,1
2024.6260606060607,150.88103722943723,170.8275199134199,155.50290424242425,169.69696969696972,14,1
2048.6093434343434,150.91529906204906,171.0759181998557,155.59883737373738,169.94949494949495,14,1
2072.5926262626263,150.9495608946609,171.32431648629148,155.6947705050505,170.2020202020202,14,1
2096.575909090909,150.98382272727272,171.57271477272727,155.79070363636365,170.45454545454547,14,1
2120.559191919192,151.01808455988456,171.82111305916305,155.88663676767678,170.7070707070707,14,1
2144.542474747475,151.0523463924964,172.06951134559884,155.9825698989899,170.95959595959596,14,1
2168.5257575757573,151.08740121212122,172.3177994949495,156.07881141414143,171.21212121212122,14,1
2192.50904040404,151.12577446464647,172.56562675084174,156.17634343097643,171.46464646464648,14,1
2216.492323232323,151.16414771717172,172.81345400673402,156.27387544781143,171.7171717171717,14,1
2240.475606060606,151.20252096969696,173.06128126262627,156.37140746464647,171.96969696969697,14,1
2264.458888888889,151.2408942222222,173.3091085185185,156.46893948148147,172.22222222222223,14,1
2288.4421717171717,151.27926747474748,173.55693577441076,156.56647149831647,172.4747474747475,14,1
2312.425454545454,151.31764072727273,173.804763030303,156.6640035151515,172.72727272727272,14,1
2336.408737373737,151.3585864069264,174.0531262085137,156.76325048340547,172.97979797979798,14,1
2360.39202020202,151.3997006060606,174.3015244949495,156.8626097979798,173.2323232323232,14,1
2384.375303030303,151.4408148051948,174.54992278138528,156.9619691125541,173.48484848484847,14,1
2408.3585858585857,151.481929004329,174.79832106782106,157.06132842712842,173.73737373737373,14,1
2432.3418686868686,151.5230432034632,175.04671935425685,157.16068774170273,173.989898989899,14,1
2456.3251515151514,151.56467707792208,175.2949444155844,157.26056673160173,174.24242424242422,14,1
2480.3084343434343,151.61093055194806,175.5416296103896,157.36506532106782,174.49494949494948,14,1
2504.291717171717,151.65718402597403,175.7883148051948,157.4695639105339,174.74747474747474,14,1
2528.2749999999996,151.7034375,176.035,157.5740625,175.0,14,1
2552.2582828282825,151.74969097402598,176.2816851948052,157.6785610894661,175.25252525252526,14,1
2576.2415656565654,151.79594444805196,176.5283703896104,157.78305967893218,175.50505050505052,14,1
2600.2248484848483,151.84307135353535,176.77577842424242,157.88782933333334,175.75757575757575,14,1
2624.208131313131,151.89263680471382,177.02520456565657,157.9933557777778,176.010101010101,14,1
2648.191414141414,151.94220225589225,177.2746307070707,158.09888222222224,176.26262626262627,14,1
2672.174696969697,151.9917677070707,177.52405684848486,158.20440866666667,176.51515151515153,14,1
2696.15797979798,152.04133315824916,177.773482989899,158.30993511111112,176.76767676767676,14,1
2720.1412626262622,152.0908986094276,178.02290913131313,158.41546155555557,177.02020202020202,14,1
2744.124545454545,152.14049720779218,178.2723096103896,158.52101045454546,177.27272727272728,14,1
2768.107828282828,152.19360304834052,178.5189948051948,158.62893522727273,177.5252525252525,14,1
2792.091111111111,152.24670888888886,178.76568,158.73686,177.77777777777777,14,1
2816.0743939393938,152.29981472943723,179.0123651948052,158.84478477272728,178.03030303030303,14,1
2840.0576767676766,152.35292056998557,179.2590503896104,158.95270954545455,178.2828282828283,14,1
2864.0409595959595,152.4060264105339,179.5057355844156,159.06063431818183,178.53535353535352,14,1
2888.0242424242424,152.45962323232322,179.75289212121214,159.16924646464648,178.78787878787878,14,1
2912.0075252525253,152.5155842255892,180.00231826262626,159.28116845117844,179.04040404040404,14,1
2935.9908080808077,152.57154521885522,180.2517444040404,159.39309043771044,179.2929292929293,14,1
2959.9740909090906,152.6275062121212,180.50117054545456,159.5050124242424,179.54545454545456,14,1
2983.9573737373735,152.68346720538722,180.7505966868687,159.6169344107744,179.7979797979798,14,1
3007.9406565656564,152.7394281986532,181.00002282828282,159.7288563973064,180.05050505050505,14,1
3031.9239393939392,152.7953891919192,181.24944896969697,159.84077838383837,180.3030303030303,14,1
3055.907222222222,152.85501805555558,181.49636,159.95374833333332,180.55555555555557,14,1
3079.890505050505,152.91497626262628,181.7430451948052,160.06681238095237,180.80808080808083,14,1
3103.873787878788,152.974934469697,181.9897303896104,160.17987642857142,181.06060606060606,14,1
3127.8570707070703,153.0348926767677,182.2364155844156,160.29294047619047,181.31313131313132,14,1
3151.840353535353,153.09485088383838,182.4831007792208,160.40600452380951,181.56565656565658,14,1
3175.823636363636,153.1550838961039,182.7299233766234,160.51934337662337,181.8181818181818,14,1
3199.806919191919,153.21846828643578,182.97832166305918,160.6358336075036,182.07070707070707,14,1
3223.790202020202,153.28185267676767,183.22671994949496,160.75232383838383,182.32323232323233,14,1
3247.7734848484847,153.34523706709956,183.47511823593072,160.86881406926406,182.57575757575756,14,1
3271.7567676767676,153.40862145743148,183.7235165223665,160.9853043001443,182.82828282828282,14,1
3295.7400505050505,153.47200584776337,183.9719148088023,161.10179453102452,183.08080808080808,14,1
3319.7233333333334,153.53630533333333,184.22017444444444,161.21872844444445,183.33333333333334,14,1
3343.706616161616,153.60345852525253,184.46800170033669,161.33704597306397,183.58585858585857,14,1
3367.6898989898987,153.6706117171717,184.71582895622896,161.4553635016835,183.83838383838383,14,1
3391.6731818181815,153.7377649090909,184.9636562121212,161.57368103030302,184.0909090909091,14,1
3415.6564646464644,153.8049181010101,185.21148346801345,161.69199855892256,184.34343434343432,14,1
3439.6397474747473,153.8720712929293,185.45931072390573,161.8103160875421,184.59595959595958,14,1
3463.62303030303,153.9392244848485,185.70713797979798,161.92863361616162,184.84848484848484,14,1
3487.606313131313,154.00942563131312,185.9555296717172,162.05022487373736,185.1010101010101,14,1
3511.589595959596,154.07966238816738,186.20392795815297,162.17185437950937,185.35353535353536,14,1
3535.5728787878784,154.14989914502164,186.45232624458873,162.29348388528138,185.6060606060606,14,1
3559.5561616161613,154.2201359018759,186.70072453102452,162.41511339105338,185.85858585858585,14,1
3583.539444444444,154.29037265873015,186.9491228174603,162.5367428968254,186.11111111111111,14,1
3607.522727272727,154.3611096969697,187.19767636363636,162.65883818181817,186.36363636363637,14,1
3631.50601010101,154.4346584309764,187.4471025050505,162.78355125252523,186.61616161616163,14,1
3655.489292929293,154.50820716498316,187.69652864646463,162.90826432323232,186.8686868686869,14,1
3679.4725757575757,154.58175589898988,187.94595478787878,163.03297739393938,187.12121212121212,14,1
3703.4558585858586,154.65530463299663,188.19538092929292,163.15769046464646,187.37373737373738,14,1
3727.4391414141414,154.72885336700338,188.44480707070707,163.28240353535352,187.62626262626264,14,1
3751.422424242424,154.8024021010101,188.69423321212122,163.40711660606058,187.87878787878788,14,1
3775.4057070707067,154.879125487013,188.94273768037516,163.5321369011544,188.13131313131314,14,1
3799.3889898989896,154.9562146103896,189.19113596681095,163.65719259018758,188.3838383838384,14,1
3823.3722727272725,155.03330373376622,189.43953425324673,163.78224827922077,188.63636363636363,14,1
3847.3555555555554,155.11039285714284,189.68793253968252,163.90730396825396,188.88888888888889,14,1
3871.3388383838383,155.18748198051946,189.9363308261183,164.03235965728715,189.14141414141415,14,1
3895.322121212121,155.26477426406925,190.18462753246752,164.15761850649352,189.3939393939394,14,1
3919.305404040404,155.34528957070705,190.4313127272727,164.2861003787879,189.64646464646464,14,1
3943.2886868686865,155.42580487734486,190.6779979220779,164.41458225108227,189.8989898989899,14,1
3967.2719696969693,155.50632018398267,190.9246831168831,164.54306412337664,190.15151515151516,14,1
3991.255252525252,155.58683549062047,191.17136831168833,164.671545995671,190.40404040404042,14,1
4015.238535353535,155.66735079725828,191.41805350649352,164.80002786796538,190.65656565656568,14,1
4039.221818181818,155.74844896969697,191.6653469090909,164.9290926060606,190.90909090909093,14,1
4063.205101010101,155.831591016835,191.91477305050506,165.0602012188552,191.16161616161617,14,1
4087.1883838383837,155.91473306397305,192.1641991919192,165.19130983164985,191.41414141414143,14,1
4111.171666666667,155.9978751111111,192.41362533333333,165.32241844444445,191.66666666666669,14,1
4135.1549494949495,156.08101715824915,192.66305147474748,165.45352705723906,191.91919191919192,14,1
4159.138232323232,156.1641592053872,192.9124776161616,165.58463567003366,192.17171717171718,14,1
4183.121515151515,156.24730125252526,193.16190375757574,165.7157442828283,192.4242424242424,14,1
4207.104797979798,156.33453176406925,193.4103354076479,165.8476263888889,192.67676767676767,14,1
4231.088080808081,156.42189943722943,193.6587336940837,165.97953444444445,192.92929292929293,14,1
4255.0713636363635,156.5092671103896,193.90713198051947,166.1114425,193.18181818181816,14,1
4279.054646464647,156.59663478354977,194.15553026695528,166.24335055555557,193.43434343434342,14,1
4303.037929292929,156.68400245670995,194.40392855339107,166.37525861111112,193.68686868686868,14,1
4327.021212121213,156.77144444444443,194.65246060606063,166.50706262626264,193.93939393939394,14,1
4351.004494949495,156.85938314814814,194.90188674747475,166.63817123905724,194.19191919191917,14,1
4374.987777777778,156.94732185185185,195.1513128888889,166.76927985185188,194.44444444444443,14,1
4398.971060606061,157.03526055555557,195.40073903030304,166.90038846464648,194.6969696969697,14,1
4422.954343434344,157.12319925925925,195.6501651717172,167.0314970774411,194.94949494949495,14,1
4446.9376262626265,157.21113796296297,195.89959131313134,167.1626056902357,195.2020202020202,14,1
4470.920909090909,157.29907666666668,196.14901745454546,167.2937143030303,195.45454545454547,14,1
4494.904191919192,157.38951586940837,196.39754341630592,167.42552305555557,195.70707070707073,14,1
4518.887474747475,157.48030972582973,196.6459417027417,167.55743111111113,195.95959595959596,14,1
4542.870757575758,157.57110358225108,196.8943399891775,167.68933916666668,196.21212121212122,14,1
