Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,Sequence_ID,Case_No.
153.93,160.0,161.03,160.09,160.0,10,1
177.91328282828283,160.0,161.1927437049062,160.11569637445888,160.16835016835017,10,1
201.89656565656566,160.0,161.3554874098124,160.14139274891775,160.33670033670035,10,1
225.87984848484848,160.0,161.51823111471862,160.16708912337663,160.50505050505052,10,1
249.8631313131313,160.0,161.68097481962482,160.1927854978355,160.67340067340066,10,1
273.84641414141413,160.0,161.84371852453103,160.21848187229438,160.84175084175084,10,1
297.829696969697,160.0,162.00674077922076,160.24473534632037,161.010101010101,10,1
321.8129797979798,160.0,162.17119757575756,160.2738579040404,161.17845117845118,10,1
345.79626262626266,160.0,162.33565437229436,160.30298046176046,161.34680134680136,10,1
369.7795454545454,160.0,162.50011116883115,160.3321030194805,161.51515151515153,10,1
393.7628282828283,160.0,162.66456796536795,160.36122557720057,161.68350168350167,10,1
417.74611111111113,160.0,162.82902476190475,160.39034813492063,161.85185185185185,10,1
441.72939393939396,160.0,162.99355583838383,160.4214391111111,162.02020202020202,10,1
465.7126767676768,160.0,163.15824104713803,160.4566145925926,162.1885521885522,10,1
489.6959595959596,160.0,163.32292625589224,160.49179007407406,162.35690235690237,10,1
513.6792424242424,160.0,163.48761146464648,160.52696555555556,162.5252525252525,10,1
537.6625252525253,160.0,163.65229667340068,160.56214103703704,162.69360269360268,10,1
561.6458080808081,160.0,163.8169818821549,160.5973165185185,162.86195286195286,10,1
585.6290909090909,160.00012136363637,163.98165090909092,160.63267,163.03030303030303,10,1
609.6123737373737,160.00183445526696,164.1461077056277,160.670358015873,163.1986531986532,10,1
633.5956565656566,160.00354754689755,164.3105645021645,160.70804603174602,163.36700336700335,10,1
657.5789393939394,160.00526063852814,164.4750212987013,160.74573404761904,163.53535353535352,10,1
681.5622222222223,160.00697373015873,164.6394780952381,160.78342206349205,163.7037037037037,10,1
705.545505050505,160.00868682178933,164.8039348917749,160.82111007936507,163.87205387205387,10,1
729.5287878787879,160.01037325252526,164.96881826262626,160.85970456565656,164.04040404040404,10,1
753.5120707070707,160.01197213804713,165.13510235690237,160.90127558922558,164.20875420875421,10,1
777.4953535353536,160.01357102356903,165.30138645117844,160.94284661279463,164.3771043771044,10,1
801.4786363636363,160.0151699090909,165.46767054545455,160.98441763636364,164.54545454545456,10,1
825.4619191919192,160.0167687946128,165.63395463973063,161.02598865993266,164.71380471380473,10,1
849.445202020202,160.01836768013467,165.80023873400674,161.06755968350168,164.8821548821549,10,1
873.4284848484849,160.01996656565657,165.96652282828282,161.10913070707073,165.05050505050505,10,1
897.4117676767676,160.02335525722324,166.131052346715,161.15194071529038,165.21885521885523,10,1
921.3950505050504,160.0267821748239,166.2955443915471,161.19477718529873,165.3872053872054,10,1
945.3783333333333,160.03020909242457,166.46003643637923,161.23761365530711,165.55555555555557,10,1
969.3616161616162,160.03363601002525,166.62452848121134,161.28045012531547,165.72390572390574,10,1
