Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,Sequence_ID,Case_No.
153.71,100.0,104.1,100.38,100.0,2,1
177.6936531986532,100.0,104.75612422679173,100.4759346127946,100.16835016835016,2,1
201.6773063973064,100.0,105.41224845358346,100.57186922558924,100.33670033670032,2,1
225.6609595959596,100.0,106.06837268037518,100.66780383838385,100.50505050505048,2,1
249.6446127946128,100.0,106.72449690716692,100.76373845117844,100.67340067340066,2,1
273.62826599326604,100.0,107.38062113395864,100.85967306397306,100.84175084175082,2,1
297.61191919191924,100.0,108.01890801587302,100.95811605339104,101.010101010101,2,1
321.59557239057244,100.0,108.5653926851852,101.06946872895622,101.17845117845116,2,1
345.57922558922564,100.0,109.11187735449737,101.1808214045214,101.34680134680134,2,1
369.5628787878789,100.0,109.65836202380952,101.29217408008658,101.51515151515152,2,1
393.5465319865321,100.0,110.2048466931217,101.40352675565175,101.68350168350167,2,1
417.5301851851853,100.0,110.75133136243387,101.51487943121694,101.85185185185186,2,1
441.5138383838385,100.00052025589224,111.26307037037036,101.62589765656566,102.02020202020203,2,1
465.4974915824917,100.0021191661055,111.70277067901236,101.73622246127948,102.1885521885522,2,1
489.4811447811449,100.00371807631876,112.14247098765432,101.84654726599328,102.35690235690237,2,1
513.464797979798,100.005316986532,112.58217129629632,101.95687207070708,102.52525252525253,2,1
537.4484511784513,100.00691589674524,113.02187160493828,102.06719687542088,102.6936026936027,2,1
561.4321043771045,100.00851480695847,113.46157191358026,102.17752168013467,102.86195286195286,2,1
585.4157575757577,100.01024367965368,113.90131283549783,102.28828510822512,103.03030303030302,2,1
609.3994107744109,100.01366991582492,114.34158418350168,102.40477713804714,103.1986531986532,2,1
633.383063973064,100.01709615199616,114.78185553150551,102.52126916786916,103.36700336700336,2,1
657.3667171717173,100.0205223881674,115.22212687950936,102.6377611976912,103.53535353535354,2,1
681.3503703703705,100.02394862433864,115.66239822751322,102.75425322751322,103.7037037037037,2,1
705.3340235690237,100.02737486050988,116.10266957551708,102.87074525733526,103.87205387205388,2,1
729.3176767676769,100.03224307070708,116.5428074074074,102.98841222895622,104.04040404040404,2,1
753.3013299663301,100.04183653198652,116.98250771604938,103.10992940516272,104.2087542087542,2,1
777.2849831649833,100.051429993266,117.42220802469136,103.23144658136924,104.37710437710436,2,1
801.2686363636365,100.06102345454546,117.86190833333332,103.35296375757576,104.54545454545456,2,1
825.2522895622897,100.07061691582491,118.3016086419753,103.47448093378226,104.71380471380472,2,1
849.2359427609429,100.08021037710438,118.74130895061728,103.59599810998876,104.8821548821549,2,1
873.2195959595961,100.08980383838384,119.18100925925926,103.71751528619528,105.05050505050504,2,1
897.2032491582493,100.10342567278134,119.55417137419388,103.84083105503208,105.21885521885524,2,1
921.1869023569024,100.11713159646084,119.92594455400013,103.96418436814751,105.38720538720538,2,1
945.1705555555556,100.13083752014032,120.29771773380638,104.08753768126294,105.55555555555556,2,1
969.1542087542088,100.14454344381984,120.66949091361263,104.2108909943784,105.72390572390572,2,1
993.137861952862,100.15824936749932,121.04126409341887,104.33424430749382,105.89225589225587,2,1
1017.1215151515152,100.17268833333334,121.41034515151516,104.45759636363636,106.06060606060603,2,1
1041.1051683501685,100.19153263227513,121.76324747715248,104.58094086580088,106.22895622895622,2,1
1065.0888215488217,100.21037693121691,122.1161498027898,104.70428536796535,106.3973063973064,2,1
1089.0724747474749,100.22922123015871,122.46905212842714,104.82762987012988,106.56565656565655,2,1
1113.056127946128,100.24806552910051,122.82195445406444,104.95097437229435,106.73400673400674,2,1
1137.0397811447813,100.26690982804232,123.17485677970178,105.07431887445888,106.90235690235691,2,1
1161.0234343434345,100.28829989225588,123.52741037037038,105.19857008754208,107.07070707070709,2,1
1185.0070875420877,100.31548136588104,123.87917061728396,105.32488399438832,107.23905723905725,2,1
1208.9907407407409,100.34266283950618,124.23093086419752,105.45119790123456,107.40740740740742,2,1
1232.974393939394,100.36984431313132,124.58269111111112,105.5775118080808,107.5757575757576,2,1
1256.9580471380473,100.39702578675646,124.9344513580247,105.70382571492704,107.74410774410777,2,1
1280.9417003367005,100.4242072603816,125.28621160493827,105.83013962177328,107.91245791245792,2,1
1304.9253535353537,100.451662979798,125.63794267676768,105.9565643939394,108.08080808080808,2,1
1328.9090067340069,100.48421222342472,125.9891318843194,106.08504825036076,108.24915824915826,2,1
1352.89265993266,100.51676146705148,126.3403210918711,106.21353210678213,108.41750841750842,2,1
1376.8763131313133,100.5493107106782,126.6915102994228,106.34201596320348,108.58585858585856,2,1
1400.8599663299665,100.58185995430496,127.04269950697451,106.47049981962482,108.75420875420876,2,1
1424.8436195286197,100.61440919793168,127.3938887145262,106.59898367604616,108.9225589225589,2,1
1448.8272727272729,100.64854545454546,127.73050181818182,106.72700363636363,109.09090909090908,2,1
1472.810925925926,100.68851820987656,128.01350892592592,106.85331754320988,109.25925925925924,2,1
1496.7945791245793,100.72849096520764,128.29651603367003,106.97963145005612,109.42760942760944,2,1
1520.7782323232325,100.76846372053872,128.57952314141414,107.10594535690235,109.5959595959596,2,1
1544.7618855218857,100.8084364758698,128.86253024915823,107.2322592637486,109.76430976430976,2,1
1568.745538720539,100.8484092312009,129.14553735690237,107.35857317059484,109.93265993265994,2,1
1592.729191919192,100.88838198653198,129.42854446464645,107.48488707744109,110.10101010101012,2,1
1616.7128451178453,100.9343819155844,129.70957904280905,107.60999554954304,110.26936026936028,2,1
1640.6964983164985,100.9806361038961,129.99053040885042,107.73505316979316,110.43771043771044,2,1
1664.6801515151517,101.0268902922078,130.27148177489178,107.8601107900433,110.6060606060606,2,1
1688.663804713805,101.07314448051947,130.55243314093315,107.9851684102934,110.77441077441078,2,1
1712.647457912458,101.11939866883117,130.8333845069745,108.11022603054352,110.94276094276094,2,1
