Time (s),T_min (C),T_max (C),T_ave (C),Thermal_Input_C,Sequence_ID,Case_No.
153.97,100.0,101.54,100.15,100.0,3,1
177.95321548821548,100.0,101.7866845021645,100.18768791005292,100.25252525252526,3,1
201.93643097643096,100.0,102.033369004329,100.22537582010582,100.50505050505052,3,1
225.9196464646465,100.0,102.28005350649352,100.26306373015872,100.75757575757576,3,1
249.90286195286197,100.0,102.526738008658,100.30075164021164,101.01010101010102,3,1
273.8860774410774,100.0,102.77342251082251,100.33843955026455,101.26262626262628,3,1
297.8692929292929,100.0,103.020107012987,100.37752006493508,101.51515151515152,3,1
321.85250841750843,100.0,103.26679151515152,100.42377340909093,101.7676767676768,3,1
345.8357239057239,100.0,103.51347601731602,100.47002675324676,102.02020202020203,3,1
369.8189393939394,100.0,103.76016051948052,100.5162800974026,102.27272727272728,3,1
393.8021548821549,100.0,104.00684502164502,100.56253344155844,102.52525252525253,3,1
417.7853703703704,100.0,104.25352952380952,100.60878678571429,102.7777777777778,3,1
441.7685858585859,100.0005199057239,104.50006548148149,100.6576767946128,103.03030303030305,3,1
465.75180134680136,100.00211878675644,104.74629316049382,100.7120387497194,103.28282828282828,3,1
489.7350168350168,100.003717667789,104.99252083950616,100.76640070482604,103.53535353535354,3,1
513.7182323232323,100.00531654882155,105.23874851851852,100.82076265993268,103.7878787878788,3,1
537.7014478114478,100.0069154298541,105.48497619753086,100.87512461503928,104.04040404040404,3,1
561.6846632996633,100.00851431088664,105.7312038765432,100.92948657014593,104.2929292929293,3,1
585.6678787878787,100.01012127705629,105.97746389610388,100.9842446969697,104.54545454545456,3,1
609.6510942760943,100.01183436387689,106.2241483982684,101.04420273569023,104.7979797979798,3,1
633.6343097643098,100.01354745069746,106.4708329004329,101.10416077441076,105.05050505050504,3,1
657.6175252525253,100.01526053751805,106.7175174025974,101.16411881313132,105.3030303030303,3,1
681.6007407407408,100.01697362433862,106.96420190476192,101.22407685185183,105.55555555555554,3,1
705.5839562289563,100.0186867111592,107.2108864069264,101.2840348905724,105.8080808080808,3,1
729.5671717171717,100.02111943434345,107.45783744107744,101.3449257912458,106.06060606060603,3,1
753.5503872053872,100.02591607744108,107.70566400112234,101.4088810325477,106.3131313131313,3,1
777.5336026936027,100.03071272053872,107.95349056116724,101.4728362738496,106.56565656565655,3,1
801.5168181818183,100.03550936363636,108.20131712121211,101.53679151515152,106.8181818181818,3,1
825.5000336700338,100.040306006734,108.449143681257,101.60074675645345,107.07070707070709,3,1
849.4832491582492,100.04510264983163,108.69697024130193,101.66470199775532,107.32323232323232,3,1
873.4664646464647,100.0498992929293,108.9447968013468,101.72865723905724,107.57575757575758,3,1
897.4496801346802,100.05670704281502,109.1914535413407,101.79874718885397,107.82828282828282,3,1
921.4328956228956,100.0635579220518,109.4380851938654,101.86896870103112,108.08080808080808,3,1
945.4161111111111,100.0704088012886,109.68471684639006,101.93919021320828,108.33333333333331,3,1
969.3993265993266,100.07725968052542,109.93134849891472,102.00941172538543,108.5858585858586,3,1
993.382542087542,100.0841105597622,110.1779801514394,102.07963323756262,108.83838383838383,3,1
1017.3657575757576,100.09144246753247,110.42485963203464,102.15009727272728,109.09090909090908,3,1
1041.348973063973,100.101720988456,110.67325722101972,102.22204691919192,109.34343434343434,3,1
1065.3321885521889,100.11199950937952,110.9216548100048,102.29399656565656,109.59595959595958,3,1
1089.315404040404,100.12227803030304,111.1700523989899,102.36594621212122,109.84848484848484,3,1
1113.2986195286196,100.13255655122656,111.418449987975,102.43789585858586,110.10101010101008,3,1
1137.281835016835,100.14283507215008,111.66684757696008,102.5098455050505,110.35353535353534,3,1
1161.2650505050506,100.15435903030304,111.91458785185183,102.58373249831652,110.6060606060606,3,1
1185.2482659932662,100.16874895959596,112.1608155308642,102.66207766891134,110.85858585858584,3,1
1209.2314814814815,100.18313888888888,112.40704320987656,102.74042283950617,111.1111111111111,3,1
1233.2146969696971,100.19752881818182,112.65327088888888,102.818768010101,111.36363636363636,3,1
1257.1979124579125,100.21191874747474,112.89949856790123,102.89711318069584,111.61616161616162,3,1
1281.181127946128,100.22630867676769,113.14572624691358,102.97545835129068,111.86868686868688,3,1
1305.1643434343434,100.24091484126984,113.39205927128428,103.05399203463205,112.12121212121212,3,1
1329.147558922559,100.2597587962963,113.64045686026935,103.1362202020202,112.37373737373738,3,1
1353.1307744107744,100.27860275132277,113.88885444925444,103.21844836940836,112.62626262626264,3,1
1377.11398989899,100.2974467063492,114.13725203823954,103.30067653679652,112.87878787878788,3,1
1401.0972053872051,100.31629066137566,114.38564962722462,103.38290470418472,113.13131313131314,3,1
1425.080420875421,100.33513461640212,114.63404721620972,103.46513287157288,113.38383838383838,3,1
1449.0636363636363,100.35472606060604,114.88232424242425,103.54789151515152,113.63636363636364,3,1
1473.046851851852,100.37711039506172,115.13015080246912,103.63263220987656,113.88888888888889,3,1
1497.0300673400675,100.3994947295174,115.37797736251405,103.71737290460158,114.14141414141412,3,1
1521.0132828282829,100.42187906397308,115.62580392255892,103.8021135993266,114.3939393939394,3,1
1544.9964983164984,100.44426339842872,115.87363048260382,103.88685429405164,114.64646464646464,3,1
1568.9797138047138,100.4666477328844,116.1214570426487,103.97159498877666,114.8989898989899,3,1
1592.9629292929294,100.48903206734006,116.3692836026936,104.05633568350169,115.15151515151514,3,1
1616.9461447811448,100.51622416546417,116.61601748917748,104.14358952741703,115.4040404040404,3,1
1640.9293602693604,100.54363355459355,116.862701991342,104.23095695526696,115.65656565656565,3,1
1664.9125757575755,100.57104294372294,117.10938649350648,104.31832438311687,115.9090909090909,3,1
1688.895791245791,100.59845233285232,117.356070995671,104.4056918109668,116.16161616161617,3,1
1712.879006734007,100.62586172198172,117.60275549783547,104.49305923881673,116.4141414141414,3,1
1736.8622222222225,100.65368,117.84964444444444,104.58104,116.66666666666666,3,1
1760.845437710438,100.68451556277056,118.09804203342952,104.67354668831167,116.91919191919192,3,1
1784.8286531986532,100.71535112554112,118.34643962241462,104.76605337662338,117.17171717171716,3,1
1808.8118686868688,100.7461866883117,118.5948372113997,104.85856006493506,117.42424242424242,3,1
1832.795084175084,100.77702225108226,118.8432348003848,104.95106675324676,117.67676767676768,3,1
1856.7782996633,100.80785781385282,119.09163238936988,105.04357344155844,117.92929292929291,3,1
1880.7615151515151,100.8399168888889,119.339868989899,105.13704606060604,118.18181818181816,3,1
1904.7447306397307,100.87509227160494,119.58769554994387,105.23297892255891,118.43434343434345,3,1
1928.727946127946,100.910267654321,119.83552210998876,105.3289117845118,118.68686868686868,3,1
1952.7111616161617,100.94544303703704,120.08334867003369,105.42484464646463,118.93939393939394,3,1
1976.6943771043773,100.98061841975309,120.33117523007856,105.52077750841752,119.1919191919192,3,1
2000.6775925925929,101.01579380246912,120.57900179012346,105.61671037037036,119.44444444444444,3,1
2024.660808080808,101.05108561327562,120.82684408369408,105.71269043290044,119.6969696969697,3,1
2048.6440235690234,101.09048661014911,121.07524167267916,105.81033638167388,119.94949494949496,3,1
2072.627239057239,101.1298876070226,121.32363926166424,105.90798233044733,120.2020202020202,3,1
2096.6104545454546,101.1692886038961,121.57203685064934,106.00562827922076,120.45454545454544,3,1
2120.59367003367,101.2086896007696,121.82043443963444,106.10327422799423,120.70707070707071,3,1
2144.5768855218853,101.2480905976431,122.06883202861952,106.20092017676768,120.95959595959596,3,1
2168.560101010101,101.28820818181818,122.31712104377104,106.29915242424242,121.2121212121212,3,1
2192.5433164983165,101.33137796969696,122.56494760381594,106.39988192929292,121.46464646464646,3,1
2216.526531986532,101.37454775757575,122.81277416386082,106.50061143434344,121.71717171717172,3,1
2240.509747474747,101.41771754545456,123.06060072390572,106.60134093939394,121.96969696969695,3,1
2264.492962962963,101.46088733333332,123.3084272839506,106.70207044444444,122.2222222222222,3,1
2288.4761784511784,101.50405712121211,123.5562538439955,106.80279994949494,122.47474747474746,3,1
2312.459393939394,101.54722690909092,123.8040804040404,106.90352945454543,122.72727272727272,3,1
2336.442609427609,101.59328217532467,124.0524413119288,107.00778565536316,122.97979797979797,3,1
2360.4258249158247,101.63953551948052,124.30083890091387,107.11228395141896,123.23232323232322,3,1
2384.4090404040403,101.68578886363636,124.549236489899,107.21678224747474,123.48484848484848,3,1
2408.392255892256,101.7320422077922,124.79763407888407,107.32128054353052,123.73737373737374,3,1
2432.375471380471,101.77829555194803,125.04603166786916,107.42577883958631,123.989898989899,3,1
2456.3586868686866,101.82505432900432,125.29426077922078,107.53061409090908,124.24242424242424,3,1
2480.341902356902,101.87644693362192,125.54094528138528,107.63853856060604,124.49494949494952,3,1
2504.325117845118,101.92783953823954,125.78762978354978,107.74646303030303,124.74747474747475,3,1
2528.3083333333334,101.97923214285714,126.03431428571427,107.8543875,125.0,3,1
2552.2915488215485,102.03062474747476,126.2809987878788,107.96231196969696,125.25252525252526,3,1
2576.274764309764,102.08201735209236,126.52768329004329,108.07023643939394,125.5050505050505,3,1
2600.25797979798,102.13460195286196,126.77466579124578,108.17878670707071,125.75757575757576,3,1
2624.2411952861958,102.19056278900112,127.02249235129068,108.2891094983165,126.010101010101,3,1
2648.2244107744104,102.2465236251403,127.27031891133556,108.3994322895623,126.26262626262626,3,1
2672.207626262626,102.30248446127946,127.51814547138046,108.50975508080808,126.51515151515152,3,1
2696.1908417508416,102.35844529741864,127.76597203142536,108.62007787205388,126.76767676767676,3,1
2720.174057239057,102.4144061335578,128.01379859147025,108.73040066329966,127.02020202020202,3,1
2744.157272727273,102.47038194805197,128.2616288961039,108.84074142857143,127.27272727272728,3,1
2768.140488215488,102.5286268999519,128.510026485089,108.95380515873016,127.52525252525253,3,1
2792.1237037037035,102.58687185185184,128.75842407407407,109.06686888888888,127.7777777777778,3,1
2816.106919191919,102.6451168037518,129.00682166305916,109.17993261904762,128.03030303030303,3,1
2840.0901346801347,102.70336175565176,129.25521925204424,109.29299634920636,128.2828282828283,3,1
2864.07335016835,102.7616067075517,129.50361684102936,109.40606007936508,128.53535353535355,3,1
2888.056565656565,102.8208175084175,129.75191784511784,109.51974195286196,128.7878787878788,3,1
2912.039781144781,102.88477274971942,129.99974440516274,109.63646026823794,129.04040404040407,3,1
2936.0229966329966,102.94872799102131,130.24757096520764,109.75317858361392,129.2929292929293,3,1
2960.006212121212,103.01268323232324,130.4953975252525,109.8698968989899,129.54545454545456,3,1
2983.989427609428,103.07663847362514,130.7432240852974,109.98661521436588,129.7979797979798,3,1
3007.972643097643,103.14059371492704,130.9910506453423,110.10333352974186,130.05050505050505,3,1
3031.9558585858586,103.20454895622896,131.23887720538718,110.22005184511784,130.30303030303028,3,1
3055.939074074074,103.27111599206349,131.4872261243386,110.3381282936508,130.55555555555554,3,1
3079.9222895622893,103.33792637806636,131.73562371332372,110.45633128427129,130.8080808080808,3,1
3103.905505050505,103.40473676406926,131.9840213023088,110.57453427489176,131.06060606060606,3,1
3127.8887205387205,103.47154715007214,132.2324188912939,110.69273726551226,131.31313131313132,3,1
3151.871936026936,103.53835753607504,132.48081648027895,110.81094025613277,131.56565656565655,3,1
3175.855151515151,103.60543294372292,132.72921406926406,110.92940826839826,131.8181818181818,3,1
3199.838367003367,103.675669503367,132.97761165824917,111.05103743265994,132.07070707070707,3,1
3223.8215824915824,103.74590606301106,133.22600924723426,111.1726665969216,132.32323232323233,3,1
3247.804797979798,103.81614262265512,133.47440683621934,111.29429576118326,132.57575757575756,3,1
3271.7880134680136,103.88637918229918,133.72280442520443,111.41592492544493,132.82828282828282,3,1
3295.7712289562287,103.95661574194324,133.97120201418952,111.5375540897066,133.08080808080808,3,1
3319.7544444444443,104.02764696296296,134.21946259259258,111.65953948148147,133.33333333333334,3,1
3343.73765993266,104.10119549046016,134.46728915263748,111.78265332098763,133.5858585858586,3,1
3367.7208754208755,104.17474401795737,134.71511571268238,111.90576716049382,133.83838383838383,3,1
3391.7040909090906,104.24829254545456,134.96294227272728,112.028881,134.0909090909091,3,1
3415.687306397306,104.32184107295174,135.21076883277215,112.15199483950616,134.34343434343435,3,1
3439.670521885522,104.39538960044894,135.45859539281707,112.27510867901236,134.59595959595958,3,1
3463.6537373737374,104.46893812794612,135.70642195286197,112.39822251851852,134.84848484848484,3,1
3487.636952861953,104.54597591991342,135.9548112974988,112.52493817941318,135.1010101010101,3,1
3511.620168350168,104.62306482683982,136.20320888648388,112.6517066041366,135.35353535353534,3,1
3535.603383838384,104.70015373376624,136.45160647546896,112.77847502886004,135.6060606060606,3,1
3559.5865993265998,104.77724264069263,136.70000406445408,112.90524345358344,135.85858585858583,3,1
3583.569814814815,104.85433154761904,136.94840165343916,113.03201187830688,136.11111111111111,3,1
3607.55303030303,104.9320803030303,137.1969515151515,113.1589494949495,136.36363636363637,3,1
3631.5362457912456,105.01362323569025,137.44637695622896,113.2868599775533,136.6161616161616,3,1
3655.519461279461,105.09516616835018,137.69580239730638,113.41477046015711,136.86868686868686,3,1
3679.502676767677,105.1767091010101,137.94522783838383,113.54268094276094,137.12121212121212,3,1
3703.485892255892,105.25825203367005,138.19465327946128,113.67059142536476,137.37373737373736,3,1
3727.469107744108,105.33979496632998,138.44407872053873,113.79850190796856,137.62626262626262,3,1
3751.452323232323,105.4213378989899,138.69350416161615,113.92641239057238,137.87878787878788,3,1
3775.4355387205383,105.50502438552188,138.94047982683983,114.05789546296296,138.13131313131314,3,1
3799.4187542087534,105.58896563973065,139.18716432900433,114.18980314814814,138.38383838383837,3,1
3823.4019696969694,105.6729068939394,139.43384883116883,114.32171083333331,138.63636363636363,3,1
3847.385185185185,105.75684814814817,139.68053333333333,114.45361851851852,138.88888888888889,3,1
3871.3684006734006,105.8407894023569,139.92721783549783,114.5855262037037,139.14141414141417,3,1
3895.351616161616,105.92492374458875,140.17399888167387,114.71753043290045,139.3939393939394,3,1
3919.334831649832,106.01229117243868,140.42239647065898,114.8511512049062,139.64646464646464,3,1
3943.318047138047,106.0996586002886,140.67079405964407,114.98477197691196,139.8989898989899,3,1
3967.301262626263,106.18702602813852,140.91919164862915,115.11839274891774,140.15151515151516,3,1
3991.284478114478,106.27439345598846,141.16758923761424,115.25201352092353,140.40404040404042,3,1
4015.2676936026937,106.3617608838384,141.41598682659935,115.38563429292928,140.65656565656568,3,1
4039.250909090909,106.44995345454548,141.66460945454546,115.51975515151514,140.9090909090909,3,1
4063.234124579125,106.54108967340068,141.9140348956229,115.6556600392817,141.16161616161617,3,1
4087.21734006734,106.6322258922559,142.16346033670035,115.79156492704826,141.41414141414143,3,1
4111.200555555556,106.72336211111111,142.41288577777777,115.9274698148148,141.66666666666669,3,1
4135.183771043771,106.81449832996633,142.66231121885522,116.06337470258136,141.91919191919192,3,1
4159.166986531986,106.90563454882157,142.91173665993264,116.19927959034791,142.17171717171718,3,1
4183.150202020202,106.99677076767676,143.1611621010101,116.33518447811448,142.42424242424244,3,1
4207.133417508418,107.09088128306878,143.4095961099086,116.47384334415584,142.67676767676767,3,1
4231.116632996633,107.18510105820106,143.65799369889368,116.61260337662338,142.92929292929293,3,1
4255.099848484849,107.27932083333332,143.9063912878788,116.75136340909091,143.1818181818182,3,1
4279.083063973065,107.3735406084656,144.15478887686388,116.89012344155846,143.43434343434345,3,1
4303.06627946128,107.46776038359788,144.40318646584896,117.028883474026,143.6868686868687,3,1
4327.049494949495,107.56219797979796,144.65171474747476,117.16728047138048,143.93939393939394,3,1
4351.032710437711,107.65813084175085,144.9011401885522,117.30318535914704,144.1919191919192,3,1
4375.015925925926,107.75406370370372,145.15056562962965,117.43909024691358,144.44444444444446,3,1
4398.999141414141,107.84999656565655,145.39999107070707,117.57499513468014,144.6969696969697,3,1
4422.982356902357,107.94592942760944,145.64941651178452,117.7109000224467,144.94949494949495,3,1
4446.965572390573,108.04186228956227,145.89884195286197,117.84680491021324,145.2020202020202,3,1
4470.948787878789,108.13779515151516,146.14826739393942,117.9827097979798,145.45454545454547,3,1
4494.932003367004,108.23671829966332,146.39679574915826,118.11961144781144,145.7070707070707,3,1
4518.915218855219,108.33607733525734,146.64519333814334,118.2566583934584,145.95959595959596,3,1
4542.898434343435,108.43543637085138,146.89359092712843,118.39370533910534,146.21212121212122,3,1
4566.88164983165,108.5347954064454,147.1419885161135,118.53075228475228,146.46464646464648,3,1
4590.864865319866,108.63415444203945,147.3903861050986,118.66779923039924,146.71717171717174,3,1
4614.848080808081,108.73357405483408,147.63878369408368,118.80502790764793,146.96969696969697,3,1
4638.831296296296,108.83464617724869,147.88718128306877,118.94721411375662,147.22222222222223,3,1
4662.814511784512,108.93571829966332,148.13557887205388,119.08940031986532,147.4747474747475,3,1
4686.797727272728,109.03679042207791,148.38397646103897,119.23158652597402,147.72727272727272,3,1
4710.780942760943,109.13786254449252,148.63237405002403,119.37377273208271,147.97979797979798,3,1
4734.764158249159,109.23893466690716,148.88077163900917,119.51595893819145,148.2323232323232,3,1
4758.747373737374,109.34088844444445,149.1290561952862,119.65816775084174,148.48484848484847,3,1
4782.73058922559,109.4464145925926,149.3768827553311,119.8004681627385,148.73737373737373,3,1
4806.713804713805,109.55194074074072,149.62470931537598,119.94276857463524,148.989898989899,3,1
4830.69702020202,109.65746688888888,149.87253587542088,120.08506898653198,149.24242424242422,3,1
4854.680235690236,109.76299303703703,150.12036243546578,120.22736939842872,149.49494949494948,3,1
4878.663451178451,109.8685191851852,150.36818899551065,120.36966981032548,149.74747474747474,3,1
4902.646666666667,109.97404533333334,150.61601555555555,120.51197022222222,150.0,3,1
4926.629882154883,110.08021804954303,150.86438092231842,120.65739571308322,150.25252525252526,3,1
